company,adress,lat,lon
cardtronics,"Embassy Gardens,LONDON,UK SW8 5BN",51.48076,-0.1405532
cardtronics,"125 Leman Street,LONDON,UK E1 8EY",51.51166,-0.06875044
cardtronics,"271 Old Kent Road,LONDON,UK SE1 5LU",51.48968,-0.07899116
cardtronics,"3 Osborn Street,LONDON,UK E1 6TD",51.51677,-0.06988145
cardtronics,"173-175 South Lambeth Road,London,UK SW8 1XW",51.4775,-0.123082
cardtronics,"14 Cable Street,LONDON,UK E1 8JG",51.51066,-0.06809216
cardtronics,"303-311 Caledonian Road,London,UK N1 1DT",51.54099,-0.1173476
cardtronics,"136 New North Road,London,UK N1 6SU",51.53529,-0.0894826
cardtronics,"Adj 297 Neckinger Estate,London,UK SE16 3QT",51.4956,-0.07210985
cardtronics,"Thomas More Street,LONDON,UK E1W 1YY",51.50807,-0.06736311
cardtronics,"124-126 Brick Lane,LONDON,UK E1 6RU",51.52167,-0.07148878
cardtronics,"160 Brick Lane,LONDON,UK E1 6RU",51.52167,-0.07148878
cardtronics,"177 - 183 Camberwell New Road,London,UK SE5 0",51.47833,-0.1031814
cardtronics,"70-74 Caldwell Street,London,UK SW9 0HB",51.4767,-0.1130237
cardtronics,"177-183 Camberwell New Road,London,UK SE5 0TJ",51.47799,-0.1023712
cardtronics,"276 Upper Street,Islington,UK N1 2TZ",51.53999,-0.1022406
cardtronics,"Gainsborough Studios,Islington,UK N1 6S",51.53623,-0.0897187
cardtronics,"142 Essex Road,LONDON,UK N1 8LX",51.53912,-0.09805934
cardtronics,"132-134 Essex Road,London,UK N1 8LX",51.53912,-0.09805934
cardtronics,"178-180 Brick Lane,LONDON,UK E1 6SA",51.52403,-0.07137994
cardtronics,"FALKIRK STREET,SHOREDITCH,UK N1 6SB",51.53128,-0.07934289
cardtronics,"98-100 Wyndham Road,LONDON,UK SE5 0UB",51.47798,-0.09956948
cardtronics,"73-74 Parkway,London,UK NW1 7AH",51.53817,-0.1446685
cardtronics,"2 Camden Road,LONDON,UK NW1 9DL",51.53925,-0.1419689
cardtronics,"2 Cromwell Road,LONDON,UK SW9 6SE",51.47639,-0.1059385
cardtronics,"130 Bethnal Road,LONDON,UK E2 6DG",51.52489,-0.07116561
cardtronics,"175 Upper Street,LONDON,UK N1 1RG",51.54131,-0.1031399
cardtronics,"161 Bethnal Green Road,BETHNAL GREEN,UK E2 7DG",51.52527,-0.07117018
cardtronics,"139-149 Whitechapel Road,London,UK E1 1DT",51.5177,-0.06609193
cardtronics,"184 Camden High Street,LONDON,UK NW1 8QP",51.53964,-0.1429564
