name,lat,lon
Camden Rd Camden St Lyme St,51.5406,-0.13953
Chalkers Corner,51.469,-0.27703
Grosvenor Pl Hyde Pk Cnr,51.5018,-0.15163
HIGH ROAD LEYTONSTONE BUSH ROAD,51.571,0.01577
Hyde Park Corner Park Lane,51.5033,-0.15099
EIDT West Ramp Gantry,51.5098,-0.00254
Borough High St Grt Dover St,51.5011,-0.09317
Blackheath Rd Greenwich High Rd,51.4742,-0.02073
Harrow Rd Kilburn Lane,51.5279,-0.2158
Leatherhead Rd Fairoak Lane,51.3419,-0.31786
Kennington Rd Kennington Grn,51.4855,-0.11139
A406   Harrow Rd   Brentfield,51.5448,-0.27287
Lea Bridge Rd Markhouse Rd,51.5702,-0.02527
Fulham Palace Rd Lillie Rd,51.4837,-0.21956
A10 South of St Peters Way,51.5405,-0.07668
Romford Rd   Tennyson Rd,51.5421,0.00524
Commercial St Brushfield,51.5192,-0.07464
A501 East of Melton St,51.5265,-0.13356
A2 Glenesk Rochester,51.4571,0.06597
Shooters Hill Rd P o wales Rd,51.4735,0.01544
A12 Wick Road,51.5448,-0.03214
Wennington Viaduct W,51.5033,0.21103
Woolwich Rd Hatcliffe st,51.4862,0.00843
Woolwich Rd A102 Flyover,51.4863,0.01695
A205 London Rd Dartmouth Rd,51.439,-0.0538
Commercial Rd Jubilee St,51.514,-0.05251
Wilton Road   Bridge Place,51.4944,-0.14217
Whitechapel Rd   Plumbers Row,51.5173,-0.06668
Whitton Rd Chertsey Rd,51.454,-0.3371
Whitechapel Rd Court St,51.5187,-0.0611
White Lion St   Upper St,51.5328,-0.107
Westminster Bridge York Rd,51.5009,-0.11762
Westminster Bridge   South,51.5012,-0.11583
West Hill Portinscale Rd,51.4549,-0.20828
Westhorn Av E of Burnt Ash Hill,51.4463,0.01508
Western Ave Swaklys RB,51.5591,-0.46984
York Road Falcon Road,51.47,-0.17175
Woolwich Manor Way,51.5205,0.05882
A10 North of Lee Street,51.5386,-0.07685
A1 Archway Rd Holmesdale Rd,51.5762,-0.14369
A406 Pinkham Way Colney Hatch Ln,51.6062,-0.15106
Chiswick High Rd Goldhawk Rd,51.4935,-0.24577
A2 Westhorne Avenue,51.4569,0.04229
A232 Grove Rd Sutton Park Rd,51.36,-0.19394
The Highway Wapping Lane,51.5097,-0.05876
A205 Waldram Pk Rd Westbourne Dr,51.4401,-0.05056
A102 Bwall Tunnel Sth Appr,51.4857,0.01914
Kennington Lane Kennington Rd,51.4884,-0.11116
Barking Rd Green St,51.5303,0.03772
High Rd Wood Grn-Ewart Grove,51.5997,-0.11118
Battersea Pk Rd Queenstown Rd,51.4762,-0.14847
A2 New Cross Rd Billington Rd,51.4757,-0.04707
A23 Streatham Hill Sternhold Ave,51.4378,-0.12696
Camberwell New Rd Vassall Rd,51.4784,-0.10381
A12 Eastern Ave Heath Drive,51.5955,0.19637
A40(M) Eastern End,51.5205,-0.17901
Borough High St Southwark St,51.5048,-0.09008
A205 Upper Rmond Rd East Sheen Ave,51.465,-0.26212
Hammersmith Bway Shepherds Bush Rd,51.493,-0.22387
A2 New Cross Rd Besson St,51.4753,-0.04715
A107 Upper Clapton Rd Southwold Rd,51.5619,-0.05748
Bruce Grove Woodside Gardens,51.5952,-0.071
Clockhouse Lane Staines Rd,51.4486,-0.44746
Archway Rd Gladsmuir Rd,51.5686,-0.13639
A205 Christchurch Rd A23 Brixton H,51.4452,-0.12418
Old Brompton Rd   Earls Court Rd,51.4896,-0.19005
Kennington Pk Rd Penton Pl,51.4902,-0.10411
East Cross Route Tredeger Rd,51.5336,-0.02256
Battersea Park Rd Forfar Rd,51.4747,-0.15454
A23 Streatham H Rd Mitcham Ln,51.4293,-0.13101
A40 Old Oak Road,51.5137,-0.24893
A12 Eastern Av Brook Rd,51.5755,0.09367
Wandsworth Common North,51.458,-0.18139
A10 Carterhatch Lane,51.6592,-0.05914
High Rd Ealing Road,51.5519,-0.299
Prince Regents Lane E,51.518,0.03557
Lambeth Plc Rd Royal St,51.4985,-0.11747
Old Kent Rd Hendre Rd,51.4913,-0.08168
Uxbridge Road Greenford Road,51.5096,-0.35525
Uxbridge Road Browells Lane,51.4453,-0.39974
Romford Rd   Carlton Rd,51.5497,0.04485
